Generation,Chromosome,Fitness
0,0001001011001100101111010111100001010001001000100010110000001101100011110110001010100101011101000010101010000101,14.165969689008712
0,1000001001011111111110110010000011011010110010001000110101010001101001001111010000011000001100001101010010001100,11.092728987813361
0,0110000010011010011100111101101000010111100010101110010010111011111011011001101111010100110011000100110111111110,15.985445138362643
0,1101011011111100100101110101001100110110011111101110000100101000100000110000101010110011100010001110001000010110,15.868724546111977
0,1111111100001010001110111010110010010110111100110011001010011100000001101101110101001011011011001010000111000000,18.49009872071967
0,0111100001011101011110111101111110001100000000101100101110110111011011001101100001101100000010101011110101011011,33.6109022556391
0,0001011110111000101111010110101110110011100111100111110011001100101000111110101110101100111001011111011101001010,10.657268514882588
0,1100011000100001000111000010000111001011000110110010111110101010011100110011011111110100100101001111100111010011,168.40568298527901
0,1001100010001111110110111110010010011001101100111010101000000110110000110110100011100100001110100010010010100011,39.62380300957592
0,0101110101010111010000100111100111000111010011101000011010010111000110001111010111011111111111101010111001011101,29.592760180995477
0,0110011100101010000011101101111011010010011100010101011010111010110010010110001100111100010000001111000100110101,161.130081300813
0,0111100100101011010000101010010110010101010111010111111111001111011100010101110110111110110100101110110010001111,169.5
0,0101111001010101110110110100100011011010010110100101000010001001101010011000111010011111110111111110011010011010,49.58730158730159
0,0010100001010111110101011010111100001010001010011110010110110011110101110101111110001101101100000001000010110010,33.21335807050093
0,1000000110101100001010011110101100000101001111010111101111110011001100100100001000111000101111101100000001101101,24.19961808633977
0,1101010110011001101101000110101010100111011110011110011100001101100111101011001010111001001001001010011111011010,17.59932701894317
0,1101110000010000101101010011110100000101011000000100010000011001111101010110010111100011101011000011011000000101,15.01814058956916
0,1110000011100010001101110111101110101001001000110110111011110111010111011110111010011101001011000011110001101010,15.428089063115117
0,0111001000000101011011000100000100010111101011101010011100110111000101011001110010111011110100010010101101011101,31.944099378881987
0,1000011100001000000011101110010000010000101011001000110100101111011001101010000101010110001011010100011011010101,16.172604148042197
1,0110011100101010100011101101111011010010011100000101011010101101100011110110001000100101011101000010100010000101,23.762975364745277
1,0001001011001100101111010111100001010001001000101010110000011010110010010110001100111100010000001111000100110101,20.294966682806482
1,1100011000100001000111000010000111001011000110110010111110101010010010010110001100111100010000001111000100110101,24.143763213530658
1,0110011100101010000011101101111011010010011100011101011010111010111100110001011111110100100101001111100111010011,22.135243841126194
1,0101111001010101110110110100100011011010111100111010101000000110110000110110100011100100001110100010010010100011,11.907894736842106
1,1001100010001111110110111110010010010001010110100101000010001001101010011000111010011111110111111110011010011010,43.73080481036078
1,0001001011001100101111010111100001010001001100100010110000001101100011110110001010101110110100101110110010001111,39.75824175824175
1,0111100100101011010000101010010110010101010111010111111111001111011000010101110110110101011101000010101010000101,77.22535211267606
